"screen_name","text"
"tannyo",". @MerriamWebster 
Shame on you. This is not the definition of an anti-vaxxer. Opposing mandates is not anti-VAX. Shame on you @Twitter for hiding the hashtags regarding this subject. #TwitterCensorship #Censorship 

#MerriamWebster #AntiVaxxer #liars #vaccine #vaccination https://t.co/EFpqERfBC3"
"CoastDemocrats","@jilevin How can anti-vaccine ideals of â€œmy body, my choiceâ€ Republicanism coexist with anti-abortion â€œculture of lifeâ€? Texas is taking the messaging lead ensuring antiabortion movement seems as radical, punitive and vicious as possible. @1945rkn https://t.co/LKYogZEJrZ"
"GregTheTourist","@crilecarvey @WildernessRob @brettglass @lbrownhd9 Liberty University educated and it shows. Faith over facts is no way to run a country. 

Hey let me know when this country let one avoid the Draft when fighting a war and I will back your anti vaccine stance."
"HillYes1","https://t.co/VBbPDHzgJj @facebook is a playground for extremists and anti vaccine publications. There is no way to report it, even if there was Facebook wonâ€™t remove it."
"Ugo_UF","@kolatubosun Just this Covid vaccine. Not anti vaccine. The data on this one is still coming out and the benefits donâ€™t seem to be that great for kids"
"aniazv","anti-masker uber guy is pissed off because we're wearing masks and took the vaccine"
"percival58","I think we need a clear distinction between Anti-vaxxers and Vaccine hesitate persons. It'll be unfortunate to use the same brush strokes for everyone and some do genuinely need to be educated but that is the Job of community health care workers. ANC has failed again.#antivaxxers"
"SteveBrant","Someone like #DrFauci REALLY needs to have a talk with @TonyRobbins. Here he is on an anti-vaccine rant. JFC! @DrEricDing @drsanjaygupta @brianstelter @DanRather @katiecouric @CDCgov @POTUS @VP @JeriLRyan @HamillHimself @cher @BeauTFC #VaccinesWork #COVID19 https://t.co/f3c7P7vnaO"
"JanePow47934169","@WesselsGreyling Sjoe! Wessel you don't wear out do you? I did not say I am anti-vax - I am anti COVID vaccines and with good reason! Any well-researched and trial-proven vaccine is okay with me. This is not the case with the vaccines for Covid. The science is crooked."
"PJPowers1","We managed in what seemed lightning speed under the draconian glare of a certain minister to bring in anti smoking laws in public not long ago.Surely the time has come to do the same, no vaccine no entry,I salute companies @Discovery_SA Discovery_SA and @MTNza â€œTHE TIME IS NOWâ€"
"elmienduplessis","â€œGetting people to overcome their hesitancy will require restoring their trust in science, their leaders, and, quite possibly, one another. The crisis of vaccine hesitancy and the crisis of cratering trust in institutions are one and the same.â€
 https://t.co/NPORq2hsQB"
"TweetyLolita","@Daystar Poor little Lamb dies of Covid after calling it a hoax and leading the anti-vaxxers.
Will you get your vaccine now?
Or will more of you die? <U+0001F622>"
"TaniaTarneeha","@Pteropus100 @AndrewBrownAU Look at the TGA reports, look at data from Israel where they have had their 4th shot! 
If you are happy to keep having jab after jab &amp; still be able to catch and transmit it, the vaccine is not doing what was promised- im not an anti vaxer, just not consenting to be in a trial"
"EwartDanny","@LetsTry77535154 @SomeAnneEnergy @sandytntn @ScottAdamsSays You actually a nurse or just use it as a title to push your anti-vaccine agenda? Another Conspirasheeple <U+0001F411> whoâ€™s swallowed too many red pills dow the rabbit hole. Bot"
"CymbusN","MS hospital fires quack doctor, anti-vaccine leader for treating COVID patients with ivermectin https://t.co/gEVWfvxLp0 via @YahooNews"
"Somnyanya","#PodcastAndChill is like the new vaccine <U+0001F602>
Dividing the nation, pro-vaxxers and anti-vaxxers https://t.co/s0ScgecVK3"
"PLHartungRN","@the_jvore @EricTopol Misinformation of Anti-VAXX morons is astounding

They say since Gibraltar is highly vaccinated, and have breakthrough CASES, vaccines doesnâ€™t work

Vaccine is 95% effective in preventing SERIOUS ILLNESS and DEATHS

Gibraltar may have cases, but NOBODY IS DEAD

The VACCINE WORKS https://t.co/ge0PBG4bB7"
"iveygirl08","MS hospital fires doctor, anti-vaccine leader for treating COVID patients with ivermectin https://t.co/xkZvd2Euug via @Yahoo"
"joshuakucera","Azerbaijanâ€™s anti-vaxxers remain on the fringe https://t.co/XVHvuMmx6S Compared to its neighbors, anti-vaccine sentiment hasnâ€™t really taken hold in Azerbaijan. Some are still trying, though.@Haydarisasoy reports."
"iKamalVeda","@arindampaul1224 What anti-aging potion did they give you along with the vaccine? I want details NOW!"
"karensheghl","@MariaAn02008063 @MarkMcGowanMP Anti vaxxer have whatever reasons not to receive a vax. Itâ€™s too time consuming to convince them. Accusations range from vaccine is a poison to risk of covid death is practically 0%. We should take it as a given and move on and tackle the matter of hospitalisation differentlyâ€¦"
"9NewsAUS","Pressure is mounting on the Prime Minister to reprimand Coalition backbencher George Christensen, for encouraging protests at Australian embassies. 

Meanwhile, Scott Morrison has been the target of anti-vaccine protestors in #Sydney. @rachbaxter9 #9News https://t.co/tZrkTEKJ2L"
"pierredevos","How a vaccine side-effect database has given ammo to anti-vaxxers https://t.co/X0QnI3v74y via @TimesSelect"
"Ed_1759","@madwick_411 Serious question, if everything on TV is a lie, where do you get your anti- vaccine information from?"
"Ed_1759","@madwick_411 Iâ€™m confident that the vaccine would have the pandemic more under control if it wasnâ€™t for all the idiot anti-vaxerâ€™s and their conspiracies.
Are you waiting for JFK jr. to rise from the dead?"
"barryharrison60","@PaulineHansonOz Anti-mandate is one thing but making false statements regarding the vaccine is irresponsible. Dont have the vaccine but don't give medical advice. Hanson, Roberts and Kelly  NO qualifications whatsoever."
"diction_dog","Theyâ€™re not against the mandate or the vaccine. 
Theyâ€™re against the ruling party. And this is their latest anti ruling party social media activism theme.
If they were in favour of the ruling party they would be attacking anyone who opposes vaccine mandates."
"Oliver3186","@RepWalorski @CMSGov You donâ€™t want vaccine mandate but are fine with government forcing anti abortion laws on women.  Please help us understand."
"AndrewM751","@dimsie Iâ€™ve been calling the anti-vaccine brigade the 6%ters for the last week or so, may have to change that to the 4%ters"
"obviouslyrobot","Getting a real ""Night of the Living (Brain) Dead"" from your anti-vaccine rally story @Skinny_Post. Hope they gave you hazard pay!"
"milthere","Paul Krugman argues the GOP is 'pro-COVID' and is trying to 'keep the pandemic going' https://t.co/HAlcMEdgJC"
"alan_page_ca","An anti-vaxxer posted a VAERS query containing the following case. Supposedly a 13 year old died after inappropriate Moderna administration. But no state/territory, no cause of death, unknown date of vaccine administration, no medical details. This is meaningless. https://t.co/Qd8PWBXB7u"
"MSivuthu","@kylenabecker This is censored by  South African media, @MorningLiveSABC &amp; @eNCA which is owned by the richest man in SA, Johan Rupert.
The SA media is corrupt to the core!
They show no footage of all overseas anti-vaccine protests
We are kept in the dark,literally!
#censorship @EFFSouthAfrica https://t.co/nxnKuRwtbz"
"mrangelbabyGOD","@genesimmons Marcus Lamb, a Texas televangelist who frequently railed against COVID-19 vaccine mandates on his show, has died several weeks after contracting the virus. He was 64. https://t.co/gOr8bLbN0R"
"mrangelbabyGOD","@TeamPelosi @BernieSanders @VP @SenSanders @SenSanders @SenWarren @AOC 

<U+0001F449><U+0001F3FB><U+0001F637> OR <U+0001F489>

Marcus Lamb, a Texas televangelist who frequently railed against COVID-19 vaccine mandates on his show, has died several weeks after contracting the virus. He was 64. https://t.co/gOr8bLbN0R"
"mauveTriforce","@DrCraigWax1 - obviously reading the tweets challenging him - but can't defend his own anti-vaccine bullcrap.

So he just likes tweets where others do it for him. 

What a brave brave boy.

I'm flipping you the bird craig - thanks for saving me time by blocking me."
"gergejm","@abdullahadam @PhDniX @KhalilAndani @freemonotheist @mullasadra @BartEhrman @DerekPodcast @jricole @shahanSean @KashifMD @Watandost @rozina_ali @ApostateRidvan Thatâ€™s the orthodox Abraham position lol. In all three abrahamic religions, the death penalty is perscribed for homosexuals(although they differ in how and the bar for evidence). There are many academics and non Muslims that are anti covid vaccine."
"gergejm","@abdullahadam @PhDniX @KhalilAndani @freemonotheist @mullasadra @BartEhrman @DerekPodcast @jricole @shahanSean @KashifMD @Watandost @rozina_ali @ApostateRidvan Unless you are ready to call every orthodox believer in the three Abrahamic faiths a murderer and people who are anti covid vaccine a psycho, then you are merely gaslighting"
"fmfagan","@karinstevens31 @ShanJeniah @StarVOY95 That vaccine most certainly saved your life! Iâ€™m so very happy you had the wisdom to get it! This modern phenomenon of anti vaxxers is just so unreal!"
"lmay4949","MS hospital fires doctor, anti-vaccine leader for treating COVID patients with ivermectin https://t.co/TtgE34WfSG via @Yahoo"
"mykeywill","'I had to lock the door' - Newmarket shop owners fearful of further anti mandate protests.
The Newmarket Business Association estimated the protest cost retailers up to $600,000. https://t.co/fmOeCUMn1Y"
"Proiqra","Johann Biacsics died of Covid: He was an anti-vaccineÂ leader https://t.co/njkdAoMxdG"
"JasonMcCorkel","@Morning_Joe @NYCMayor A mandate for a vaccine that doesnt stop transmission is the dumbest anti science thing one could do.  This is the definition of living in fear."
"stupefyalpy1063","@SimuLiu wtf simu.. u rly need an anti-horny vaccine ASAP"
"realKurtEllis","Just found out that a work friend is in the ICU with #Covid_19 and I have no sympathy for him, what so ever. He is actively anti-vaccine. I sat with him twice, each time for over an hour trying to convince him. Showed him video explanations of how the vaccines work, and..."
"rightfuture","Hilarious: anti-lockdown protestors griping about a lack of freedoms traveled from all over Victoria. So unfree they couldn't even leave their homes I guess!
https://t.co/KqnAv2ruht"
"TheNewHenryM","Get ready. They're blaming vaccine deaths on the scamdemic!

https://t.co/kPJOTsoCRL"
"pranesh","The 3 main steps to ending the pandemic:

1. Increase vaccine production and get as many people (esp. senior citizens) vaccinated as possible.
2. Produce &amp; maintain a stock of anti-Covid-19 drugs, as those become available.
3. Stop mass testing. Important step."
"BabeTruth2","Paul Krugman argues the GOP is 'pro-COVID' and is trying to 'keep the pandemic going' https://t.co/INgaBOJaes"
"MightyHealthful","Inside the growing alliance between anti-vaccine activists and pro-Trump Republicans https://t.co/rE3Mu2mt7U"
"skd6996","@NelleNelly Until you actually find yourself in a situation where you need a transplant. Just like the anti vaxxers who beg for the Covid vaccine from their ICU bed."
"Anastas1aBvrhsn","Vaccine Vocab 101:
Pro-vaxxer:
Someone who likes taking vaccines &amp; boosters like a pro.
Synonymous w/human pin cushion.
Anti-vaxxer:
Someone who questions scientists paid for by pharmawhores who refuse to release safety data studies.
Synonymous w/free-thinker &amp; anti-propagandist."
"byroncclark","""This isn't the first anti-vax incident the man has been in. 

In September, he recorded himself harassing workers at one of Auckland's mobile immunisation buses, subjecting the staff to a diatribe of anti-vaccination rhetoric.""

https://t.co/8YDZxGuZbU"
"DJDanAdams","@Birdybabe07 He forgot to take the anti-left vaccine <U+0001F644>"
"LuiFromTheRadio","I wondered why  #NotAnOrganDonorAnymore was trending, and found out there's some incredibly petulant anti-vaxxers removing themselves from the organ donor list because of vaccine mandates."
"OpinionToday","Inside the growing alliance between anti-vaccine activists and pro-Trump Republicans (@gbrumfiel NPR News) Details: https://t.co/xd7Qbur81D https://t.co/rak7UPICjk"
"redsteeze","The vaccine you injected into your body was the direct result of actions his administration took. That's not pro or anti. It's just a fact and something tells me you have a bigger problem with that than I do. https://t.co/FgVMWch9vV"
"xaaronh","""I'm happy to do that if you're happy to meet people who have suffered vaccine injury.""

This is the first time I've heard the term ""vaccine injury"". Why can't anti-vaxxers just call them ""adverse side-effects"" like everyone else? https://t.co/0q9M8lrYPC"
"harveyjkaye","Ron DeSantis and the Conservative Death Cult of Freedom | The New Republic = Conservatives in the pandemic era have revealed that their bizarre concept of liberty is incompatible with human life. https://t.co/knQPLrjHs9"
"ThatBloodyPinko","The nice thing about public defenders as a class of attorneys is that you find very little anti-vaccine bullshit among them.

Might have something to do with their constant proximity to the trauma the justice system inflicts."
"ChronLaw","Ohio Attorney General Dave Yost reviewing language for proposed anti-vaccine ballot initiative â€“ https://t.co/hrPL3ZXQyQ

ChronLaw Attorney News
at https://t.co/JpnC5wxQpu

#Attorney #news #law #attorney #lawyer"
"FutureTau","@philizhadebe I can go on and on. Let's alone the lack of Info on this virus. In SA we have a 94% recovery rate in that 6% some are old or comorbidities etc I. E. Cancer diabetic etc... Murder rate in SA about 65 a day.. Why don't we lock down <U+0001F646><U+200D><U+2642><U+FE0F>. By the way I ain't anti vaccine"
"drogon_dracarys","â€œas America heads into midterm elections next year, the political right and the anti-vaccine movement are drawing ever-closer together. It's an alliance that promises to give both sides more power, but the cost is potentially thousands of American lives.â€ https://t.co/dkmnP8ehAy"
"RonaMurdoch","@DylanViljoen5 @alfred_cabonena Please don't mention magnet and vaccine in the same sentence again. You'll send the anti-Covax loons into a frenzy again... <U+0001F937><U+0001F3FB><U+0001F602>"
"endGOP","@CJBach1 @AZinCLE @GOP Your rant contains ZERO proof of anything!
Thus worthless!

Fact...3 people I know
Anti-mask...Anti-Vaccine are now Anti-Life!

Vaccine doses administered worldwide 8,210,433,733

We need at least 14 Billion to achieve herd immunity!
Or a lot more people will have to die!
Simple"
"Bashar_Assad69","@Peter_Nimitz @zerowing0 I canâ€™t speak for the right, but I never trusted Pharma bc of my line of work. Never was anti-vaccine, but as @eugyppius1 puts so well, this is not a human vaccine, it is an animal vaccine that works at best for a little while in animals that are slaughtered within a year or two."
"SocalZod","@daddydab32ho She says Djt is a well known anti vaxxer and even says in the thread he would probably fake a vaccine card lmao crazy accusations."
"KingHaku3","@SandeChin Worth it,,,""ONLY"" if he/she is anti vaccine <U+0001F60E>"
"DanCas2","Paul Krugman argues the GOP is 'pro-COVID' and is trying to 'keep the pandemic going' https://t.co/NMoVX9RsH5 #SmartNews"
"DanCas2","Inside the growing alliance between anti-vaccine activists and pro-Trump Republicans https://t.co/YxEbbrOf0C #SmartNews"
"AlagbaSD","Thank God for him for allowing common sense prevail and eventually got vaccinated, having his best year right now while he would have been at home surfing anti-vaccine conspiracies with Kyrie."
"knobstick","@PunditPandemic You are not getting vaccinated only for yourself, but also to protect the most vulnerable around you.  There are people with health problems that cannot take the vaccine.  There are people who will take the vaccine and it will not create sufficient anti-bodies to protect them."
"NYCesar","Inside the growing alliance between anti-vaccine activists and pro-Trump Republicans https://t.co/02q9biRk38 @drpichel @nminow @AAsvat @superlenin @DoctorPanama"
"JesusCrisis_","Paul Krugman argues the GOP is 'pro-COVID' and is trying to 'keep the pandemic going' - https://t.co/Jmsp5n5Xon <U+0001F9D0><U+0001F9D0> https://t.co/IXI0YgDPJa"
"cjrutty","Whatâ€™s Really Behind Global Vaccine Hesitancy - The Atlantic https://t.co/5t6MCW2XW8 @UofT_dlsph #COVID_19 #publichealth #pandemic #vaccines #trust #CVPD"
"LoriSarian","@RNCResearch The supply chain crisis is caused by Covid. Its happening world wide. It has much less to do with Biden than anti-maskers, anti-vaxxers and sharing vaccine."
"kakmidah","#Florida: @USAFMedicine #Covid19 #Vaccine <U+0001F489> Air Force Civilian nurse blows the whistle on an ""active shooter"" training exercise with an anti-vaxx soldier who opens fire on the hospital!?! - Edward Szall reports.
https://t.co/QGPO9UrjJS"
"MyOpinion815","@vardi @LSchaffer16 Everyone I know who has Covid, is also anti-vaccine. Everyone I know who is vaccinated, hasnâ€™t gotten Covid."
"Devarsh786","@newindia_in And if the mask is WORKING then why push them for the vaccine?? - Because with vaccines, we will build anti-bodies to fight off the virus when we get in contact to it. We may only show some symptoms but vaccinated people have more chances or surviving compared to unvaccinated."
"GulAysegul","@caruzycki @mehdirhasan @MehdiHasanShow Inconsistencies fuel the anti-science, anti-vaccine, anti-mask, anti-PCR test, anti-social distancing rhetoric.  The distrust is spreading."
"TAntibiotic","Things that scare me, 
1.
Doing any vehicle repair work on the shoulder of a busy freeway.
2.
Listening to a space of anti vaccine crazies preach the merits of ivermectin.
3. Knowing in my heart and head, that we are all doomed because of the ignorant fools following the QGOP"
